# script|lines|awk_calls|external_process_markers（2026-07-20 機械採取・docs/design/rust-port-plan.md の付録）
core/scripts/es-render-html.sh|800|awk=8|pure
core/scripts/probe-gate-liveness.sh|379|awk=1|net/lint,
core/scripts/measure-coupling.sh|257|awk=6|git,net/lint,
adapters/android-jvm/scripts/run-mutation-tests.sh|241|awk=0|jvm,net/lint,
core/scripts/render-harness-dashboard.sh|220|awk=8|gh,
core/scripts/collect-gate-history.sh|219|awk=3|gh,gradle,
core/scripts/check-diff-coverage.sh|216|awk=6|git,gradle,net/lint,
core/scripts/measure-complexity.sh|199|awk=6|net/lint,
core/scripts/check-adr-review.sh|191|awk=0|git,
core/scripts/classify-gate-type.sh|188|awk=1|gh,
adapters/android-jvm/scripts/capture-theme-screenshots.sh|181|awk=0|android,
core/scripts/measure-modularity.sh|176|awk=10|net/lint,
core/scripts/es-render-cmap-html.sh|163|awk=2|pure
core/scripts/es-coverage.sh|161|awk=8|git,net/lint,
core/scripts/es-lint-info.sh|154|awk=1|pure
adapters/android-jvm/scripts/build-release-aab.sh|154|awk=0|jvm,net/lint,
adapters/android-jvm/scripts/run-unit-tests.sh|143|awk=0|jvm,net/lint,
core/scripts/check-kit-drift.sh|140|awk=0|git,net/lint,
core/scripts/check-domain-model.sh|138|awk=0|net/lint,
adapters/android-jvm/scripts/build-release-apk.sh|124|awk=0|jvm,
core/scripts/check-hard-constraints.sh|117|awk=0|git,gradle,net/lint,
core/scripts/check-interaction-command-traceability.sh|115|awk=3|net/lint,
adapters/android-jvm/scripts/release-preflight.sh|113|awk=0|gradle,net/lint,
adapters/android-jvm/scripts/smoke-debug-app.sh|111|awk=0|pure
core/scripts/pr-preflight.sh|107|awk=0|pure
core/scripts/check-rule-doc-currency.sh|103|awk=0|git,net/lint,
core/scripts/probe-semantic-liveness.sh|100|awk=2|pure
core/scripts/check-modularity-ratchet.sh|98|awk=1|net/lint,
core/scripts/es-lint.sh|96|awk=1|pure
core/scripts/check-doc-currency.sh|94|awk=2|git,net/lint,
adapters/android-jvm/scripts/emulator-smoke.sh|92|awk=0|android,
core/scripts/check-file-line-limit.sh|90|awk=0|git,net/lint,
core/scripts/check-evidence-resolves.sh|90|awk=1|git,
core/scripts/check-bc-domain.sh|86|awk=2|pure
adapters/android-jvm/scripts/test-balance-report.sh|86|awk=0|android,
core/scripts/setup-branch-protection.sh|82|awk=0|gh,net/lint,
core/scripts/check-posix-portability.sh|79|awk=0|git,net/lint,
core/scripts/check-es-assertions.sh|79|awk=1|pure
core/scripts/gate-roi-verdict.sh|77|awk=1|gh,
adapters/android-jvm/scripts/android-kotlin-compile.sh|76|awk=0|jvm,net/lint,
adapters/android-jvm/scripts/check-release-basics.sh|73|awk=0|pure
adapters/android-jvm/scripts/build-signed-release.sh|71|awk=0|pure
core/scripts/check-third-party-notices.sh|70|awk=0|net/lint,
core/scripts/check-interaction-storming.sh|69|awk=0|net/lint,
core/scripts/check-test-compiles.sh|68|awk=0|net/lint,
adapters/android-jvm/scripts/check-file-sizes.sh|68|awk=0|git,net/lint,
core/scripts/check-merge-integrity.sh|61|awk=0|gh,git,
adapters/android-jvm/scripts/check-release-notes.sh|61|awk=0|net/lint,
core/scripts/es-render.sh|59|awk=1|pure
core/scripts/check-term-relations.sh|59|awk=2|pure
core/scripts/check-gate-tests.sh|59|awk=0|pure
core/scripts/mutation-scope.sh|57|awk=0|git,net/lint,
core/scripts/check-gate-classified.sh|55|awk=1|pure
core/scripts/check-es-deliverables.sh|54|awk=0|pure
core/scripts/check-es-evidence.sh|53|awk=1|pure
core/scripts/es-cmap-lint.sh|51|awk=1|pure
core/scripts/check-model-refuted.sh|50|awk=0|pure
